PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
693,3,365,1,28.5,0,0,65,56.4958,124,2,1
482,2,212,1,28.5,0,0,114,0.0,124,2,0
528,1,195,1,28.5,0,0,487,221.7792,75,2,0
856,3,5,0,18.0,0,1,398,9.35,124,2,1
802,2,138,0,31.0,1,1,465,26.25,124,2,1
653,3,338,1,21.0,0,0,423,8.4333,124,2,0
510,3,367,1,26.0,0,0,65,56.4958,124,2,1
558,1,560,1,28.5,0,0,512,227.525,124,0,0
829,3,418,1,28.5,0,0,369,7.75,124,1,1
19,3,673,0,31.0,1,0,258,18.0,124,2,0
648,1,604,1,56.0,0,0,55,35.5,7,0,1
403,3,336,0,21.0,1,0,405,9.825,124,2,0
847,3,585,1,28.5,8,2,476,69.55,124,2,0
468,1,619,1,56.0,0,0,35,26.55,124,2,0
52,3,474,1,21.0,0,0,432,7.8,124,2,0
413,1,433,0,33.0,1,0,77,90.0,66,1,1
422,3,121,1,21.0,0,0,444,7.7333,124,1,0
251,3,542,1,28.5,0,0,357,7.25,124,2,0
819,3,297,1,43.0,0,0,452,6.45,124,2,0
410,3,375,0,28.5,3,1,401,25.4667,124,2,0
254,3,392,1,30.0,1,0,446,16.1,124,2,0
219,1,55,0,32.0,0,0,50,76.2917,80,0,1
257,1,654,0,28.5,0,0,493,79.2,124,0,1
227,2,428,1,19.0,0,0,562,10.5,124,2,1
295,3,434,1,24.0,0,0,314,7.8958,124,2,0
707,2,348,0,45.0,0,0,91,13.5,124,2,1
754,3,333,1,23.0,0,0,296,7.8958,124,2,0
198,3,488,1,42.0,0,1,407,8.4042,124,2,0
836,1,139,0,39.0,1,1,511,83.1583,110,0,1
221,3,641,1,16.0,0,0,547,8.05,124,2,1
740,3,457,1,28.5,0,0,305,7.8958,124,2,0
34,2,686,1,66.0,0,0,458,10.5,124,2,0
431,1,73,1,28.0,0,0,3,26.55,59,2,1
151,2,51,1,51.0,0,0,524,12.525,124,2,0
587,2,316,1,47.0,0,0,108,15.0,124,2,0
205,3,131,1,18.0,0,0,440,8.05,124,2,1
345,2,207,1,36.0,0,0,95,13.0,124,2,0
748,2,605,0,30.0,0,0,140,13.0,124,2,1
324,2,102,0,22.0,1,1,134,29.0,124,2,1
265,3,282,0,28.5,0,0,393,7.75,124,1,0
135,2,625,1,25.0,0,0,461,13.0,124,2,0
833,3,578,1,28.5,0,0,171,7.2292,124,0,0
191,2,535,0,32.0,0,0,103,13.0,124,2,1
108,3,446,1,28.5,0,0,220,7.775,124,2,1
193,3,13,0,19.0,1,0,341,7.8542,124,2,1
450,1,533,1,52.0,0,0,33,30.5,42,2,1
97,1,232,1,71.0,0,0,509,34.6542,12,0,0
383,3,655,1,32.0,0,0,557,7.925,124,2,0
716,3,626,1,19.0,0,0,293,7.65,120,2,0
365,3,479,1,28.5,1,0,382,15.5,124,1,0
475,3,637,0,22.0,0,0,420,9.8375,124,2,0
435,1,601,1,50.0,1,0,58,55.9,108,2,0
64,3,612,1,4.0,3,2,286,27.9,124,2,0
764,1,113,0,36.0,1,2,27,120.0,41,2,1
749,1,413,1,19.0,1,0,29,53.1,86,2,0
843,1,595,0,30.0,0,0,37,31.0,124,0,1
644,3,201,1,28.5,0,0,65,56.4958,124,2,1
366,3,4,1,30.0,0,0,453,7.25,124,2,0
495,3,634,1,21.0,0,0,428,8.05,124,2,0
309,2,2,1,30.0,1,0,480,24.0,124,0,0
652,2,171,0,18.0,0,1,100,23.0,124,2,1
303,3,329,1,19.0,0,0,479,0.0,124,2,0
717,1,191,0,38.0,0,0,512,227.525,55,0,1
820,3,613,1,10.0,3,2,286,27.9,124,2,0
733,2,359,1,28.5,0,0,115,0.0,124,2,0
252,3,640,0,29.0,1,1,269,10.4625,124,2,0
155,3,489,1,28.5,0,0,478,7.3125,124,2,0
404,3,253,1,28.0,1,0,559,15.85,124,2,0
611,3,21,0,39.0,1,5,282,31.275,124,2,0
206,3,639,0,2.0,0,1,269,10.4625,124,2,0
220,2,267,1,30.0,0,0,568,10.5,124,2,0
694,3,579,1,25.0,0,0,172,7.225,124,0,0
687,3,507,1,14.0,4,1,215,39.6875,124,2,0
384,1,299,0,35.0,1,0,34,52.0,124,2,1
551,1,651,1,17.0,0,2,68,110.8833,65,0,1
469,3,593,1,28.5,0,0,356,7.725,124,1,0
655,3,278,0,18.0,0,0,366,6.75,124,1,0
650,3,633,0,23.0,0,0,475,7.55,124,2,1
483,3,572,1,50.0,0,0,441,8.05,124,2,0
743,1,577,0,21.0,2,2,505,262.375,31,0,1
196,1,400,0,58.0,0,0,490,146.5208,37,0,1
44,2,368,0,3.0,1,2,533,41.5792,124,0,1
447,2,426,0,13.0,0,1,137,19.5,124,2,1
627,2,356,1,57.0,0,0,87,12.35,124,1,0
792,2,219,1,16.0,0,0,117,26.0,124,2,0
33,3,229,0,28.5,0,0,249,7.75,124,1,1
685,2,90,1,60.0,1,1,206,39.0,124,2,0
374,1,557,1,22.0,0,0,515,135.6333,124,0,0
419,2,415,1,30.0,0,0,191,13.0,124,2,0
845,3,148,1,17.0,0,0,228,8.6625,124,2,0
795,3,159,1,25.0,0,0,295,7.8958,124,2,0
822,3,398,1,27.0,0,0,233,8.6625,124,2,1
180,3,381,1,36.0,0,0,479,0.0,124,2,0
416,3,425,0,28.5,0,0,254,8.05,124,2,0
368,3,448,0,28.5,0,0,148,7.2292,124,0,1
714,3,370,1,29.0,0,0,418,9.4833,124,2,0
538,1,372,0,30.0,0,0,516,106.425,124,0,1
78,3,449,1,28.5,0,0,390,8.05,124,2,0
156,1,696,1,51.0,0,1,498,61.3792,124,0,0
157,3,227,0,16.0,0,0,353,7.7333,124,1,1
369,3,321,0,28.5,0,0,63,7.75,124,1,1
382,3,455,0,1.0,0,2,159,15.7417,124,0,1
396,3,323,1,22.0,0,0,345,7.7958,124,2,0
129,3,526,0,28.5,1,1,168,22.3583,118,0,1
279,3,549,1,7.0,4,1,395,29.125,124,1,0
299,1,580,1,28.5,0,0,82,30.5,43,2,1
215,3,351,1,28.5,1,0,370,7.75,124,1,0
810,1,118,0,33.0,1,0,40,53.1,117,2,1
51,3,505,1,7.0,4,1,215,39.6875,124,2,0
891,3,173,1,32.0,0,0,387,7.75,124,1,0
724,2,294,1,50.0,0,0,136,13.0,124,2,0
233,2,611,1,59.0,0,0,107,13.5,124,2,0
35,1,431,1,28.0,1,0,503,82.1708,124,0,0
46,3,564,1,28.5,0,0,519,8.05,124,2,0
695,1,681,1,60.0,0,0,38,26.55,124,2,0
115,3,33,0,17.0,0,0,149,14.4583,124,0,0
123,2,458,1,32.5,1,0,111,30.0708,124,0,0
628,1,395,0,21.0,0,0,57,77.9583,95,2,1
262,3,29,1,3.0,4,2,279,31.3875,124,2,1
239,2,521,1,19.0,0,0,197,10.5,124,2,0
438,2,555,0,24.0,2,3,203,18.75,124,2,1
586,1,647,0,18.0,0,2,1,79.65,115,2,1
797,1,373,0,49.0,0,0,72,25.9292,81,2,1
255,3,569,0,41.0,0,2,381,20.2125,124,2,0
287,3,707,1,30.0,0,0,263,9.5,124,2,1
95,3,145,1,59.0,0,0,361,7.25,124,2,0
692,3,342,0,4.0,0,1,331,13.4167,124,0,1
141,3,79,0,28.5,0,2,174,15.2458,124,0,0
407,3,691,1,51.0,0,0,274,7.75,124,2,0
441,2,272,0,45.0,1,1,477,26.25,124,2,1
425,3,568,1,18.0,1,1,381,20.2125,124,2,0
793,3,584,0,28.5,8,2,476,69.55,124,2,0
613,3,452,0,28.5,1,0,371,15.5,124,1,1
849,2,265,1,28.0,0,1,131,33.0,124,2,0
153,3,429,1,55.5,0,0,426,8.05,124,2,0
119,1,53,1,24.0,0,1,489,247.5208,32,0,0
634,1,510,1,28.5,0,0,12,0.0,124,2,0
348,3,162,0,28.5,1,0,397,16.1,124,2,1
784,3,332,1,28.5,1,2,565,23.45,124,2,0
160,3,582,1,28.5,8,2,476,69.55,124,2,0
134,2,682,0,29.0,1,0,94,26.0,124,2,1
269,1,242,0,58.0,0,1,492,153.4625,48,2,1
3,3,279,0,26.0,0,0,560,7.925,124,2,1
524,1,290,0,44.0,0,1,6,57.9792,16,0,1
599,3,78,1,28.5,0,0,164,7.225,124,0,0
770,3,245,1,32.0,0,0,422,8.3625,124,2,0
620,2,220,1,26.0,0,0,219,10.5,124,2,0
575,3,574,1,16.0,0,0,430,8.05,124,2,0
380,3,250,1,19.0,0,0,276,7.775,124,2,0
657,3,540,1,28.5,0,0,308,7.8958,124,2,0
772,3,319,1,48.0,0,0,342,7.8542,124,2,0
261,3,624,1,28.5,0,0,396,7.75,124,1,0
481,3,236,1,9.0,5,2,474,46.9,124,2,0
231,1,268,0,35.0,1,0,380,83.475,68,2,1
126,3,469,1,12.0,1,0,158,11.2417,124,0,1
397,3,490,0,31.0,0,0,349,7.8542,124,2,0
867,2,183,0,27.0,1,0,531,13.8583,124,0,1
780,1,561,0,43.0,0,1,119,211.3375,20,2,1
768,3,408,0,30.5,0,0,365,7.75,124,1,0
462,3,445,1,34.0,0,0,362,8.05,124,2,0
467,2,105,1,28.5,0,0,113,0.0,124,2,0
735,2,658,1,23.0,0,0,102,13.0,124,2,0
395,3,591,0,24.0,0,2,518,16.7,124,2,1
706,2,444,1,39.0,0,0,144,26.0,124,2,0
346,2,89,0,24.0,0,0,133,13.0,122,2,1
553,3,480,1,28.5,0,0,246,7.8292,124,1,0
470,3,38,0,0.75,2,1,166,19.2583,124,0,1
723,2,226,1,34.0,0,0,52,13.0,124,2,0
351,3,485,1,23.0,0,0,415,9.225,124,2,0
433,2,396,0,42.0,1,0,527,26.0,124,2,1
6,3,442,1,28.5,0,0,239,8.4583,124,1,0
589,3,225,1,22.0,0,0,64,8.05,124,2,0
79,2,101,1,0.83,0,2,134,29.0,124,2,1
236,3,260,0,28.5,0,0,567,7.55,124,2,0
696,2,119,1,52.0,0,0,132,13.5,124,2,0
722,3,320,1,17.0,1,0,343,7.0542,124,2,0
454,1,230,1,49.0,1,0,69,89.1042,73,0,1
415,3,642,1,44.0,0,0,548,7.925,124,2,1
752,3,438,1,6.0,0,1,400,12.475,99,2,1
546,1,468,1,64.0,0,0,413,26.0,124,2,0
808,3,532,0,18.0,0,0,285,7.775,124,2,0
576,3,514,1,19.0,0,0,355,14.5,124,2,0
94,3,164,1,26.0,1,2,457,20.575,124,2,0
315,2,271,1,43.0,1,1,477,26.25,124,2,0
518,3,575,1,28.5,0,0,389,24.15,124,1,0
817,3,280,0,23.0,0,0,561,7.925,124,2,0
267,3,506,1,16.0,4,1,215,39.6875,124,2,0
541,1,147,0,36.0,0,2,569,71.0,19,2,1
357,1,83,0,22.0,0,1,25,55.0,103,2,1
878,3,530,1,19.0,0,0,301,7.8958,124,2,0
359,3,423,0,28.5,0,0,242,7.8792,124,1,1
874,3,672,1,47.0,0,0,259,9.0,124,2,0
162,2,679,0,40.0,0,0,468,15.75,124,2,1
114,3,335,0,20.0,1,0,404,9.825,124,2,0
519,2,24,0,36.0,1,0,93,26.0,124,2,1
176,3,358,1,18.0,1,1,347,7.8542,124,2,0
758,2,42,1,18.0,0,0,204,11.5,124,2,0
75,3,69,1,32.0,0,0,65,56.4958,124,2,1
131,3,178,1,33.0,0,0,318,7.8958,124,0,0
605,1,300,1,35.0,0,0,8,26.55,124,0,1
439,1,206,1,64.0,1,4,79,263.0,53,2,0
263,1,648,1,52.0,1,1,1,79.65,114,2,0
859,3,40,0,24.0,0,3,166,19.2583,124,0,1
327,3,478,1,61.0,0,0,257,6.2375,124,2,0
235,2,385,1,24.0,0,0,463,10.5,124,2,0
669,3,142,1,43.0,0,0,439,8.05,124,2,0
517,2,379,0,34.0,0,0,469,10.5,122,2,1
484,3,663,0,63.0,0,0,402,9.5875,124,2,1
642,1,587,0,24.0,0,0,485,69.3,22,0,1
2,1,149,0,38.0,1,0,499,71.2833,69,0,1
492,3,699,1,21.0,0,0,544,7.25,124,2,0
857,1,690,0,45.0,1,1,378,164.8667,124,2,1
87,3,204,1,16.0,1,3,566,34.375,124,2,0
665,3,390,1,20.0,1,0,552,7.925,124,2,1
182,2,523,1,28.5,0,0,528,15.05,124,0,0
639,3,508,0,41.0,0,5,215,39.6875,124,2,0
214,2,228,1,30.0,0,0,138,13.0,124,2,0
91,3,125,1,29.0,0,0,256,8.05,124,2,0
375,3,501,0,3.0,3,1,333,21.075,124,2,0
194,2,461,1,3.0,1,1,96,26.0,121,2,1
250,2,114,1,54.0,1,0,121,26.0,124,2,0
393,3,249,1,28.0,2,0,212,7.925,124,2,0
664,3,132,1,36.0,0,0,300,7.4958,124,2,0
461,1,14,1,48.0,0,0,80,26.55,98,2,1
798,3,495,0,31.0,0,0,321,8.6833,124,2,1
871,3,43,1,26.0,0,0,325,7.8958,124,2,0
177,3,374,1,28.5,3,1,401,25.4667,124,2,0
804,3,653,1,0.42,0,1,147,8.5167,124,0,1
247,3,387,0,25.0,0,0,277,7.775,124,2,0
476,1,129,1,28.5,0,0,2,52.0,1,2,0
472,3,98,1,38.0,0,0,227,8.6625,124,2,0
122,3,439,1,28.5,0,0,449,8.05,124,2,0
710,3,447,1,28.5,1,1,161,15.2458,124,0,1
353,3,187,1,15.0,1,1,181,7.2292,124,0,0
21,2,216,1,35.0,0,0,117,26.0,124,2,0
668,3,566,1,28.5,0,0,222,7.775,124,2,0
140,1,223,1,24.0,0,0,495,79.2,39,0,0
584,1,570,1,36.0,0,0,54,40.125,0,0,0
555,3,486,0,22.0,0,0,284,7.775,124,2,1
661,1,209,1,50.0,2,0,508,133.65,124,2,1
614,3,302,1,28.5,0,0,388,7.75,124,1,0
204,3,704,1,45.5,0,0,150,7.225,124,0,0
720,3,328,1,33.0,0,0,272,7.775,124,2,0
647,3,143,1,19.0,0,0,313,7.8958,124,2,0
229,2,193,1,18.0,0,0,105,13.0,124,2,0
209,3,109,0,16.0,0,0,372,7.75,124,1,1
741,1,274,1,28.5,0,0,67,30.0,90,2,1
840,1,410,1,28.5,0,0,49,29.7,57,0,1
646,1,263,1,48.0,1,0,491,76.7292,87,0,1
522,3,675,1,22.0,0,0,328,7.8958,124,2,0
783,1,394,1,29.0,0,0,23,30.0,94,2,0
169,1,52,1,28.5,0,0,481,25.925,124,2,0
333,1,241,1,38.0,0,1,492,153.4625,72,2,0
697,3,347,1,44.0,0,0,359,8.05,124,2,0
408,2,554,1,3.0,1,1,203,18.75,124,2,1
701,1,32,0,18.0,1,0,512,227.525,61,0,1
506,1,519,1,18.0,1,0,513,108.9,62,0,0
769,3,441,1,28.5,1,0,389,24.15,124,1,0
8,3,500,1,2.0,3,1,333,21.075,124,2,0
738,1,383,1,35.0,0,0,510,512.3292,14,0,1
852,3,644,1,74.0,0,0,270,7.775,124,2,0
674,2,694,1,31.0,0,0,122,13.0,124,2,1
736,3,698,1,28.5,0,0,408,16.1,124,2,0
175,1,622,1,56.0,0,0,75,30.6958,13,0,0
705,3,257,1,26.0,1,0,336,7.8542,124,2,0
570,3,334,1,32.0,0,0,350,7.8542,124,2,1
37,3,407,1,28.5,0,0,173,7.2292,124,0,1
210,1,75,1,40.0,0,0,16,31.0,8,0,1
682,1,273,1,27.0,0,0,491,76.7292,92,0,1
719,3,421,1,28.5,0,0,367,15.5,124,1,0
109,3,544,1,38.0,0,0,326,7.8958,124,2,0
165,3,504,1,1.0,4,1,215,39.6875,124,2,0
675,2,678,1,28.5,0,0,116,0.0,124,2,0
389,3,581,1,28.5,0,0,374,7.7292,124,1,0
756,2,255,1,0.67,1,1,141,14.5,124,2,1
47,3,380,1,28.5,1,0,384,15.5,124,1,0
480,3,291,0,2.0,0,1,217,12.2875,124,2,1
678,3,662,0,18.0,0,0,406,9.8417,124,2,1
766,1,295,0,51.0,1,0,57,77.9583,79,2,1
362,2,709,1,29.0,1,0,532,27.7208,124,0,0
598,3,327,1,49.0,0,0,479,0.0,124,2,0
771,3,386,1,24.0,0,0,266,9.5,124,2,0
329,3,234,0,31.0,1,1,358,20.525,124,2,1
277,3,388,0,45.0,0,0,278,7.75,124,2,0
637,3,377,1,32.0,0,0,556,7.925,124,2,0
703,3,46,0,18.0,0,1,180,14.4542,124,0,0
855,2,112,0,44.0,1,0,121,26.0,124,2,0
872,1,62,0,47.0,1,1,42,52.5542,88,2,1
149,2,462,1,36.5,0,2,96,26.0,121,2,0
179,2,254,1,30.0,0,0,143,13.0,124,2,0
718,2,660,0,27.0,0,0,253,10.5,97,2,1
82,3,597,1,29.0,0,0,265,9.5,124,2,1
494,1,26,1,71.0,0,0,506,49.5042,124,0,0
821,1,276,0,52.0,1,1,53,93.5,33,2,1
679,3,239,0,43.0,1,6,474,46.9,124,2,0
288,3,453,1,22.0,0,0,297,7.8958,124,2,0
331,3,419,0,28.5,2,0,368,23.25,124,1,1
167,1,123,0,28.5,0,1,25,55.0,103,2,1
629,3,76,1,26.0,0,0,309,7.8958,124,2,0
730,3,309,0,25.0,1,0,558,7.925,124,2,0
816,1,213,1,28.5,0,0,14,0.0,15,2,0
319,1,689,0,31.0,0,2,378,164.8667,64,2,1
339,3,151,1,45.0,0,0,421,8.05,124,2,1
321,3,166,1,22.0,0,0,434,7.25,124,2,0
53,1,264,0,49.0,1,0,491,76.7292,87,0,1
609,2,369,0,22.0,1,2,533,41.5792,124,0,1
185,3,355,0,4.0,0,2,235,22.025,124,2,1
256,3,657,0,29.0,0,2,157,15.2458,124,0,1
801,2,537,1,34.0,0,0,139,13.0,124,2,0
863,1,646,0,48.0,0,0,73,25.9292,81,2,1
42,2,665,0,27.0,1,0,41,21.0,124,2,0
514,1,571,0,54.0,1,0,502,59.4,124,0,1
548,2,498,1,28.5,0,0,530,13.8625,124,0,1
547,2,57,0,19.0,1,0,199,26.0,124,2,1
152,1,517,0,22.0,1,0,30,66.6,51,2,1
332,1,512,1,45.5,0,0,19,28.5,47,2,0
65,1,636,1,28.5,0,0,504,27.7208,124,0,0
834,3,34,1,23.0,0,0,288,7.8542,124,2,0
489,3,627,1,30.0,0,0,427,8.05,124,2,0
532,3,656,1,28.5,0,0,154,7.2292,124,0,0
406,2,217,1,34.0,1,0,196,21.0,124,2,0
745,3,638,1,31.0,0,0,554,7.925,124,2,1
202,3,586,1,28.5,8,2,476,69.55,124,2,0
361,3,615,1,40.0,1,4,286,27.9,124,2,0
48,3,482,0,28.5,0,0,61,7.75,124,1,1
71,2,317,1,32.0,0,0,466,10.5,124,2,0
683,3,492,1,20.0,0,0,412,9.225,124,2,0
378,1,692,1,27.0,0,2,24,211.5,67,0,0
124,2,680,0,32.5,0,0,186,13.0,97,2,1
195,1,91,0,44.0,0,0,507,27.7208,25,0,1
136,2,552,1,23.0,0,0,529,15.0458,124,0,0
617,3,156,1,34.0,1,1,280,14.4,124,2,0
544,2,56,1,32.0,1,0,199,26.0,124,2,1
446,1,169,1,4.0,0,2,250,81.8583,10,2,1
120,3,17,0,2.0,4,2,282,31.275,124,2,0
414,2,150,1,28.5,0,0,113,0.0,124,2,0
344,2,594,1,25.0,0,0,126,13.0,124,2,0
90,3,116,1,24.0,0,0,255,8.05,124,2,0
837,3,513,1,21.0,0,0,232,8.6625,124,2,0
440,2,361,1,31.0,0,0,456,10.5,124,2,0
318,2,443,1,54.0,0,0,198,14.0,124,2,0
86,3,37,0,33.0,3,0,213,15.85,124,2,1
734,2,66,1,23.0,0,0,194,13.0,124,2,0
146,2,467,1,19.0,1,1,467,36.75,124,2,0
281,3,180,1,65.0,0,0,251,7.75,124,1,0
491,3,252,1,28.5,1,0,411,19.9667,124,2,0
866,2,96,0,42.0,0,0,106,13.0,124,2,1
145,2,22,1,18.0,0,0,101,11.5,124,2,0
222,2,84,1,27.0,0,0,88,13.0,124,2,0
125,1,687,1,54.0,0,1,352,77.2875,85,2,0
525,3,343,1,28.5,0,0,184,7.2292,124,0,0
111,1,538,1,47.0,0,0,2,52.0,44,2,0
60,3,237,1,11.0,5,2,474,46.9,124,2,0
